Airport Code,Airport Name,City Name,State Name,Average Fare ($)
AEX,Alexandria International,Alexandria,LA,627.53
RDD,Redding Regional,Redding,CA,458.12
LCH,Lake Charles Regional,Lake Charles,LA,508.64
CPR,Casper/Natrona County International,Casper,WY,602.01
HLN,Helena Regional,Helena,MT,588.14
TOL,Eugene F Kranz Toledo Express,Toledo,OH,141.73
ABI,Abilene Regional,Abilene,TX,607.37
SCK,Stockton Metro,Stockton,CA,126.33
CWA,Central Wisconsin,Mosinee,WI,547.75
LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,582.29
GUM,Guam International,Guam,TT,1655.57
RST,Rochester International,Rochester,MN,492.27
SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,643.9
PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,588.48
YUM,Yuma MCAS/Yuma International,Yuma,AZ,723.13
GRI,Central Nebraska Regional,Grand Island,NE,372.05
IAG,Niagara Falls International,Niagara Falls,NY,149.19
CMI,University of Illinois/Willard,Champaign/Urbana,IL,569.23
SIT,Sitka Rocky Gutierrez,Sitka,AK,460.17
PUW,Pullman Moscow Regional,Pullman,WA,525.58
PSM,Portsmouth International at Pease,Portsmouth,NH,247.41
ADQ,Kodiak Airport,Kodiak,AK,507.72
HHH,Hilton Head Airport,Hilton Head,SC,410.76
FSM,Fort Smith Regional,Fort Smith,AR,683.92
FLG,Flagstaff Pulliam,Flagstaff,AZ,677.95
CLL,Easterwood Field,College Station/Bryan,TX,572.78
TYR,Tyler Pounds Regional,Tyler,TX,627.38
SPI,Abraham Lincoln Capital,Springfield,IL,225.33
ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,475.75
MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,317.07
EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,562.58
ERI,Erie International/Tom Ridge Field,Erie,PA,532.18
SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,714.9
ACT,Waco Regional,Waco,TX,609.13
SJT,San Angelo Regional/Mathis Field,San Angelo,TX,774.38
MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,561.21
CSG,Columbus Airport,Columbus,GA,634.04
TXK,Texarkana Regional-Webb Field,Texarkana,AR,603.15
CKB,North Central West Virginia,Clarksburg/Fairmont,WV,182.88
LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,547.05
BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,472.72
ROW,Roswell Air Center,Roswell,NM,557.93
VLD,Valdosta Regional,Valdosta,GA,700.82
HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,113.15
OME,Nome Airport,Nome,AK,545.96
VRB,Vero Beach Regional,Vero Beach,FL,193.61
LSE,La Crosse Regional,La Crosse,WI,650.21
MQT,Marquette Sawyer Regional,Marquette,MI,597.26
BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,488.23
GGG,East Texas Regional,Longview,TX,571.04
OTZ,Ralph Wien Memorial,Kotzebue,AK,537.5
GTR,Golden Triangle Regional,Columbus,MS,668.73
SWO,Stillwater Regional,Stillwater,OK,529.61
PPG,Pago Pago International,Pago Pago,TT,1286.97
LWS,Lewiston Nez Perce County,Lewiston,ID,551.18
BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,517.94
PGV,Pitt Greenville,Greenville,NC,517.55
ABY,Southwest Georgia Regional,Albany,GA,767.42
COD,Yellowstone Regional,Cody,WY,649.2
DHN,Dothan Regional,Dothan,AL,829.94
STC,St. Cloud Regional,St. Cloud,MN,146.7
SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,552.05
GUC,Gunnison-Crested Butte Regional,Gunnison,CO,591.78
GCC,Northeast Wyoming Regional,Gillette,WY,649.81
BJI,Bemidji Regional,Bemidji,MN,691.42
EAT,Pangborn Memorial,Wenatchee,WA,581.08
SCC,Deadhorse Airport,Deadhorse,AK,506.65
DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,588.46
SBD,San Bernardino International,San Bernardino,CA,118.94
CIU,Chippewa County International,Sault Ste. Marie,MI,688.83
SHR,Sheridan County,Sheridan,WY,695.52
GCK,Garden City Regional,Garden City,KS,655.27
BQK,Brunswick Golden Isles,Brunswick,GA,624.66
ART,Watertown International,Watertown,NY,480.38
ABR,Aberdeen Regional,Aberdeen,SD,656.77
ALW,Walla Walla Regional,Walla Walla,WA,536.45
DLG,Dillingham Airport,Dillingham,AK,552.55
FLO,Florence Regional,Florence,SC,540.44
HOB,Lea County Regional,Hobbs,NM,482.19
DBQ,Dubuque Regional,Dubuque,IA,126.0
YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,637.7
RHI,Rhinelander/Oneida County,Rhinelander,WI,706.2
TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,765.42
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,721.73
IMT,Ford,Iron Mountain/Kingsfd,MI,601.63
EAU,Chippewa Valley Regional,Eau Claire,WI,170.3
SPN,Francisco C. Ada Saipan International,Saipan,TT,676.63
PQI,Presque Isle International,Presque Isle/Houlton,ME,575.18
PIH,Pocatello Regional,Pocatello,ID,774.75
SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,527.43
PSG,Petersburg James A Johnson,Petersburg,AK,465.96
CMX,Houghton County Memorial,Hancock/Houghton,MI,581.77
RKS,Southwest Wyoming Regional,Rock Springs,WY,610.45
AKN,King Salmon Airport,King Salmon,AK,573.22
LAR,Laramie Regional,Laramie,WY,522.79
BRD,Brainerd Lakes Regional,Brainerd,MN,668.05
RIW,Central Wyoming Regional,Riverton/Lander,WY,624.62
BTM,Bert Mooney,Butte,MT,594.19
HYA,Cape Cod Gateway,Hyannis,MA,246.23
CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,558.48
ESC,Delta County,Escanaba,MI,606.67
SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,128.66
LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,526.49
HIB,Range Regional,Hibbing,MN,665.6
VEL,Vernal Regional,Vernal,UT,562.81
CDV,Merle K Mudhole Smith,Cordova,AK,460.35
EAR,Kearney Regional,Kearney,NE,629.3
EKO,Elko Regional,Elko,NV,811.29
ALO,Waterloo Regional,Waterloo,IA,539.59
MEI,Key Field,Meridian,MS,500.58
OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,523.6
WRG,Wrangell Airport,Wrangell,AK,531.04
CDC,Cedar City Regional,Cedar City,UT,521.78
JST,John Murtha Johnstown-Cambria County,Johnstown,PA,498.58
PIR,Pierre Regional,Pierre,SD,687.64
VCT,Victoria Regional,Victoria,TX,535.74
PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,677.33
BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,475.79
CNY,Canyonlands Regional,Moab,UT,427.37
BFM,Mobile International,Mobile,AL,97.88
DEC,Decatur Airport,Decatur,IL,503.98
SLE,McNary Field,Salem,OR,148.03
INL,Falls International Einarson Field,International Falls,MN,666.95
APN,Alpena County Regional,Alpena,MI,682.8
SLN,Salina Regional,Salina,KS,453.45
OWB,Owensboro Daviess County Regional,Owensboro,KY,534.21
ATY,Watertown Regional,Watertown,SD,626.2
PAH,Barkley Regional,Paducah,KY,668.12
JLN,Joplin Regional,Joplin,MO,485.91
PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,514.83
JMS,Jamestown Regional,Jamestown,ND,515.39
LBL,Liberal Mid-America Regional,Liberal,KS,419.32
SHD,Shenandoah Valley Regional,Staunton,VA,586.13
ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,582.83
BIH,Bishop Airport,Bishop,CA,491.5
YAK,Yakutat Airport,Yakutat,AK,551.55
HYS,Hays Regional,Hays,KS,479.84
CVN,Clovis Regional,Clovis,NM,569.96
DVL,Devils Lake Regional,Devils Lake,ND,467.05
DDC,Dodge City Regional,Dodge City,KS,438.85
WYS,Yellowstone,West Yellowstone,MT,419.88
BKW,Raleigh County Memorial,Beckley,WV,693.14
OGS,Ogdensburg International,Ogdensburg,NY,621.34
MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,512.98
IPL,Imperial County,El Centro,CA,454.47
LWB,Greenbrier Valley,Lewisburg,WV,544.21
LEB,Lebanon Municipal,Lebanon-Hanover,NH,479.66
